scorer,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems
individuals,arm,arm,arm,arm,arm,arm,arm,arm,arm,arm,arm,arm,arm,arm,arm,arm,arm,arm,arm,arm,arm,arm,arm,arm,arm,arm,arm,arm,arm,arm,arm,arm,arm,arm,arm,arm,arm,arm,arm,arm,arm,arm,arm,arm,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person
bodyparts,ankle_l,ankle_l,ankle_r,ankle_r,base,base,chest,chest,elbow_l,elbow_l,elbow_r,elbow_r,finger1,finger1,finger2,finger2,head,head,hip_l,hip_l,hip_r,hip_r,joint_1,joint_1,joint_2,joint_2,joint_3,joint_3,joint_4,joint_4,knee_l,knee_l,knee_r,knee_r,pelvis,pelvis,shoulder_l,shoulder_l,shoulder_r,shoulder_r,wrist_l,wrist_l,wrist_r,wrist_r,ankle_l,ankle_l,ankle_r,ankle_r,base,base,chest,chest,elbow_l,elbow_l,elbow_r,elbow_r,finger1,finger1,finger2,finger2,head,head,hip_l,hip_l,hip_r,hip_r,joint_1,joint_1,joint_2,joint_2,joint_3,joint_3,joint_4,joint_4,knee_l,knee_l,knee_r,knee_r,pelvis,pelvis,shoulder_l,shoulder_l,shoulder_r,shoulder_r,wrist_l,wrist_l,wrist_r,wrist_r
metrics,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf
0,,,,,0.3086862512470853,1.0,,,,,,,1.022315164927045,1.0,2.6960100403674594,1.0,,,,,,,1.1460806789945515,1.0,2.069802922516607,1.0,3.142383651099264,1.0,0.3175643608471203,1.0,,,,,,,,,,,,,,,2.014203082106123,1.0,1.430492208129679,1.0,,,0.7340291591635941,1.0,0.7153486403917668,1.0,2.5199038579998727,1.0,,,,,0.9249715117434715,1.0,1.2516456821806172,1.0,,,,,,,,,,,,,,,2.054221980376533,1.0,1.8469076296778606,1.0,1.9009393004406971,1.0,0.8519534289909466,1.0,1.9566830638707875,1.0
1,,,,,1.7591202994837327,1.0,,,,,,,1.388988519078734,1.0,1.0656288733942212,1.0,,,,,,,1.528898750734234,1.0,2.66214990227094,1.0,2.4310678178930334,1.0,2.283757295644397,1.0,,,,,,,,,,,,,,,0.42780148318556405,1.0,0.9779068696671517,1.0,,,0.8537086462286743,1.0,1.2496358925569966,1.0,1.2186960796464148,1.0,,,,,1.4206522107491195,1.0,1.6847911840677727,1.0,,,,,,,,,,,,,,,0.7340322701679903,1.0,1.1511862506846995,1.0,0.5061787774798163,1.0,0.8883397882701074,1.0,2.299886714131493,1.0
2,,,,,0.42129729045992526,1.0,,,,,,,1.9468785779048008,1.0,0.38134297515823024,1.0,,,,,,,2.1353939349732127,1.0,1.4489364523408033,1.0,0.9840032108612582,1.0,0.6041412240828048,1.0,,,,,,,,,,,,,,,2.7693017239153597,1.0,2.2863254812661493,1.0,,,1.0791341753909922,1.0,0.9485485878453898,1.0,0.7440537468118924,1.0,,,,,0.21648164395904965,1.0,3.2686982950778565,1.0,1.1069516854609658,1.0,,,,,,,,,,,,,2.140069617925992,1.0,0.8012413992402895,1.0,1.6062229637750536,1.0,1.5921147371404232,1.0,0.5137230888479576,1.0
3,,,,,1.3694684788269982,1.0,,,,,,,1.603710530006631,1.0,4.127861754017409,1.0,,,,,,,1.3573404443359107,1.0,2.3293144121054965,1.0,2.4819939205517487,1.0,1.2924959854289968,1.0,,,,,,,,,,,,,,,2.6927082770885966,1.0,2.102842155256849,1.0,,,1.235381664635706,1.0,1.2978194122425708,1.0,0.7249599674591782,1.0,,,,,1.1442618548671215,1.0,2.3960384442427705,1.0,1.2979634559249653,1.0,,,,,,,,,,,,,2.039097630680147,1.0,2.310851600587543,1.0,2.5071241021270794,1.0,,,,
4,,,,,0.6101849322261432,1.0,,,,,,,2.4702903259478233,1.0,2.871224262568894,1.0,,,,,,,4.20294915301033,1.0,1.0090418555091507,1.0,4.067631406765011,1.0,2.719994547649306,1.0,,,,,,,,,,,,,,,1.9530467385961268,1.0,1.3735816030581338,1.0,,,0.8537022173145911,1.0,1.6845897676700134,1.0,,,,,,,2.863124243784393,1.0,2.5782512599324483,1.0,1.4073571120050967,1.0,,,,,,,,,,,,,1.5905763761174634,1.0,1.5226560529027686,1.0,1.169768447521559,1.0,1.824039837077945,1.0,1.37593344630449,1.0
5,,,,,0.9842359650675843,1.0,,,,,,,,,2.3190709713682085,1.0,,,,,,,3.383932034518824,1.0,1.6824433131397036,1.0,1.2019302123329392,1.0,1.7869211513031065,1.0,,,,,,,,,,,,,,,2.4228243252157684,1.0,0.3849611443818749,1.0,,,0.33743609689078347,1.0,1.8915982428727949,1.0,1.1031740650335502,1.0,,,,,1.2503140804583353,1.0,1.4352386396533077,1.0,2.7649888267657525,1.0,,,,,,,,,,,,,1.013916984466568,1.0,1.610427942298333,1.0,0.7705443679901632,1.0,2.2181751595970125,1.0,1.467808819110371,1.0
6,,,,,2.381311808329043,1.0,,,,,,,3.4522782540800083,1.0,3.1009674356539043,1.0,,,,,,,2.485231551939475,1.0,0.3371743082933852,1.0,0.9333362433073084,1.0,1.9581639085412743,1.0,,,,,,,,,,,,,,,3.4993501265403957,1.0,1.4222705737248098,1.0,,,0.9203585253456136,1.0,0.933685003787836,1.0,,,,,,,1.179416750464936,1.0,1.8358303754047431,1.0,0.506479724807921,1.0,,,,,,,,,,,,,1.3292582288273882,1.0,3.4519465929696285,1.0,1.1548286865930968,1.0,0.4585733360059715,1.0,1.586992994297719,1.0
7,,,,,1.1154176539184852,1.0,,,,,,,,,,,,,,,,,1.7970000254621332,1.0,0.7636261745740613,1.0,1.6231473770553164,1.0,,,,,,,,,,,,,,,,,2.8894612774400112,1.0,1.6727271444374971,1.0,,,1.7897808085407547,1.0,0.6999818378837201,1.0,3.5096538635317027,1.0,,,,,2.3410641427325705,1.0,1.8502329062857896,1.0,1.3726207689410082,1.0,,,,,,,,,,,,,2.4657845001859586,1.0,0.7840003021113772,1.0,0.7652022872394408,1.0,3.9785509730205026,1.0,1.589980307597741,1.0
8,,,,,1.2492668800417888,1.0,,,,,,,0.6878603312343019,1.0,,,,,,,,,2.7050574178699875,1.0,3.2821404673762182,1.0,3.096101620182278,1.0,,,,,,,,,,,,,,,,,2.588496465210889,1.0,1.2408869538773055,1.0,,,2.197419538149803,1.0,0.9928548076656316,1.0,2.559267365033891,1.0,,,,,1.7443315676518822,1.0,2.510819487357759,1.0,1.7684287983245301,1.0,,,,,,,,,,,,,2.7748886811765385,1.0,1.733861233281414,1.0,3.8789138644830894,1.0,1.8503530625551285,1.0,3.2870761889994298,1.0
9,,,,,0.930014333383587,1.0,,,,,,,3.5626390846382505,1.0,2.3874739157200437,1.0,,,,,,,0.8986350696152363,1.0,1.0921017644777915,1.0,2.970846035414701,1.0,2.430389296383384,1.0,,,,,,,,,,,,,,,,,,,,,0.3464944530718393,1.0,0.9669038003693221,1.0,2.4191819248634223,1.0,,,,,2.3598671720962403,1.0,1.2712634963556813,1.0,0.9246261408474371,1.0,,,,,,,,,1.1026374002067232,1.0,1.486321235218552,1.0,1.8058849549001739,1.0,1.2479350486763092,1.0,2.883082199845933,1.0,0.6151981103581095,1.0,1.067575998516961,1.0
10,,,,,1.0572185435191641,1.0,,,,,,,0.784706131527498,1.0,2.3265356297726774,1.0,,,,,,,2.705638939046943,1.0,4.724325482191782,1.0,1.291314977709462,1.0,0.7242669505615955,1.0,,,,,,,,,,,,,,,3.1958908196713702,1.0,1.525388876859848,1.0,,,2.1298452670819703,1.0,1.6509469087605635,1.0,2.837741994244191,1.0,,,,,2.4546800384067637,1.0,2.7156902898913184,1.0,0.24066504170606337,1.0,,,,,,,,,,,,,2.2771581085283956,1.0,1.5788837110215177,1.0,1.4227676048090143,1.0,2.238520269436552,1.0,1.235327326889353,1.0
11,,,,,0.8535355171456208,1.0,,,,,,,1.7476883882988064,1.0,0.3991176367119381,1.0,,,,,,,1.6275230361623196,1.0,1.8806596085644376,1.0,0.9620598924197302,1.0,2.3853979477628964,1.0,,,,,,,,,,,,,,,0.24904724428964894,1.0,1.46532936363122,1.0,,,0.7391294961530857,1.0,2.1342794889617513,1.0,0.7089287345411198,1.0,,,,,1.107964122538806,1.0,1.6435310031259822,1.0,0.4986391427886816,1.0,,,,,,,,,,,1.4646681649060271,1.0,2.1491861136101345,1.0,0.9712361627859518,1.0,1.5613846487814131,1.0,1.8654429613237933,1.0,2.488666053975302,1.0
12,,,,,0.7233673224539228,1.0,,,,,,,2.163485897470281,1.0,2.7017477922152806,1.0,,,,,,,1.843237482598793,1.0,2.1558530316840234,1.0,0.6770347956585053,1.0,1.031608843720848,1.0,,,,,,,,,,,,,,,1.523915174275959,1.0,0.6757528051750437,1.0,,,0.9000042285955504,1.0,0.45818013250762923,1.0,1.2470124710567088,1.0,,,,,1.7502638704672469,1.0,2.8003984444356664,1.0,2.1252608324357283,1.0,,,,,,,,,,,,,0.7292285472655367,1.0,3.5049785551798838,1.0,0.9397371703314866,1.0,,,2.235385063701337,1.0
13,,,,,0.7118303852882067,1.0,,,,,,,1.4875633165154711,1.0,1.9059751678079113,1.0,,,,,,,1.4883176739944757,1.0,1.9335304667793138,1.0,0.9390767382056415,1.0,0.35273790799846666,1.0,,,,,,,,,,,,,,,1.7565874385795404,1.0,1.3549001304793746,1.0,,,0.06943828982882266,1.0,0.2078302900336634,1.0,2.0195573226501384,1.0,,,,,2.57341612780968,1.0,2.001120276606061,1.0,1.5769634436811168,1.0,,,,,,,,,,,,,0.9169401672152796,1.0,0.27318734655492466,1.0,0.42137202979234106,1.0,2.0095022452943843,1.0,1.721233304909581,1.0
14,,,,,0.4501674405580625,1.0,,,,,,,2.712551358866649,1.0,4.310810154612582,1.0,,,,,,,1.7585994391668582,1.0,0.5732951784419533,1.0,3.1097706913144787,1.0,1.8864478561157745,1.0,,,,,,,,,,,,,,,0.8226252818243465,1.0,1.403543568067966,1.0,,,1.6777586339800292,1.0,2.2341468735897534,1.0,,,,,,,2.6486333407169296,1.0,0.9219431434795848,1.0,1.8944779615373102,1.0,,,,,,,,,,,,,1.841344698063309,1.0,0.5449043426103449,1.0,0.9832422281712418,1.0,0.7725332556297443,1.0,0.6386769906223863,1.0
15,,,,,0.4963535328450777,1.0,,,,,,,2.1700716357094807,1.0,1.8434190418452552,1.0,,,,,,,1.7963765069378463,1.0,2.8947990777714323,1.0,2.7953243646941366,1.0,0.41733904168102537,1.0,,,,,,,,,,,,,,,1.7456423140209798,1.0,1.0641081903961211,1.0,,,0.5587498450290744,1.0,0.1770464482248823,1.0,,,,,,,1.1998854377775972,1.0,2.0901354218807224,1.0,1.5754330970546828,1.0,,,,,,,,,,,,,0.6623032731040466,1.0,0.48186355095542516,1.0,2.1393101884572086,1.0,,,3.3476397596885668,1.0
